Lat,Lon,AGB
22.519,114.024,91.7
22.519,114.024,90.1
18.615,-91.943,116.45
18.615,-91.943,145.46
18.615,-91.943,165.29
18.615,-91.943,236.9
18.615,-91.943,113.8
18.615,-91.943,151.67
18.617,-91.972,169.56
18.617,-91.972,162.03
18.617,-91.972,269.8
18.641,-92.458,279.72
18.641,-92.458,203.24
18.641,-92.458,203.25
5.366,-52.852,35.1
5.363,-52.853,56.6
5.444,-52.996,11.42
5.36,-52.852,61.4
5.356,-52.852,50.2
5.444,-52.993,73.1
5.441,-52.993,32.39
5.38,-52.908,14.58
5.364,-52.895,180.0
5.449,-53.029,214.4
5.351,-52.871,228.84
5.441,-53.03,431.9
5.417,-52.979,122.2
5.46,-53.028,110.0
5.459,-53.025,77.6
9.556,138.18,264.4
22.256,89.63,206.6
-7.713,108.958,4.6
-7.724,108.97,25.4
1.75,124.736,186.4
1.695,124.959,59.6
1.738,124.755,88.0
1.567,124.804,110.8
7.352,134.539,208.8
9.515,138.149,373.4
1.296,124.507,113.4
1.372,124.551,178.2
22.319,89.629,112.2
-2.737,111.738,134.2
5.349,162.963,475.8
5.282,162.964,485.0
5.326,162.945,496.2
5.283,162.911,386.0
9.553,138.1,536.4
9.543,138.091,477.0
9.588,138.127,837.0
-2.849,111.739,290.2
-2.784,111.699,357.4
-2.856,111.732,169.6
-2.741,111.714,291.6
-15.612,46.875,209.08
-15.461,47.196,177.0
-15.501,47.072,44.9
-15.589,46.924,35.32
-15.604,47.043,19.36
-4.553,122.011,173.15
-4.553,122.011,59.05
8.65,105.065,146.6
8.672,105.074,358.4
8.669,105.072,250.5
8.597,104.964,313.3
8.589,104.928,372.3
8.7,105.072,523.6
10.478,106.803,260.9
10.483,106.803,293.7
10.48,106.801,267.1
10.48,106.789,188.0
10.479,106.789,135.4
10.478,106.789,217.6
10.487,106.794,179.4
11.608,124.995,297.2
20.653,106.701,6.887
20.653,106.701,8.496
20.653,106.701,11.049
20.653,106.701,11.686
20.653,106.701,13.347
20.653,106.701,13.517
20.653,106.701,12.844
20.653,106.701,24.015
20.653,106.701,28.328
20.653,106.701,44.181
20.653,106.701,45.412
20.653,106.701,72.552
20.653,106.701,79.592
20.653,106.701,83.812
20.653,106.701,87.68
20.653,106.701,89.744
20.653,106.701,93.62
20.653,106.701,162.598
-36.314,174.76,29.2
-36.811,174.776,9.4
-36.937,175.787,61.6
-37.202,175.861,32.8
-37.013,175.847,22.5
22.519,114.024,45.6
22.519,114.024,29.4
22.519,114.024,35.4
21.57,109.753,148.71
21.565,109.755,97.17
21.568,109.763,153.23
21.555,109.768,270.59
21.538,109.774,40.01
4.845,100.599,238.0
4.844,100.584,166.0
8.606,104.723,33.1
8.606,104.723,6.8
8.606,104.723,58.8
8.606,104.723,45.9
8.606,104.723,42.2
8.606,104.723,75.1
8.606,104.723,134.2
8.606,104.723,115.7
8.606,104.723,110.4
8.606,104.723,171.8
8.606,104.723,160.8
8.606,104.723,205.5
8.606,104.723,200.5
8.606,104.723,225.4
8.606,104.723,267.9
8.606,104.723,295.5
8.606,104.723,282.0
8.606,104.723,350.3
8.606,104.723,213.6
22.437,89.585,52.16
22.441,89.549,157.1
22.441,89.549,138.54
22.429,89.591,208.5
22.429,89.591,314.58
22.437,89.585,51.16
21.518,88.03,239.91
21.518,88.03,254.63
21.518,88.03,256.96
22.31,88.677,74.79
22.31,88.677,77.46
22.31,88.677,75.81
-4.419,39.511,106.7
10.144,124.156,312.0
10.144,124.156,219.2
10.144,124.156,556.9
10.144,124.156,236.3
5.867,102.508,2.665
3.333,101.233,305.46
3.667,100.967,122.78
-0.505,117.559,326.0
-0.515,117.501,222.0
-0.733,117.531,244.0
-0.732,117.573,270.0
-0.351,117.503,226.0
-0.351,117.52,168.0
-0.389,117.533,292.0
-0.808,117.508,222.0
-0.813,117.525,186.0
-0.764,117.615,198.0
27.581,-82.564,76.6
27.846,-82.601,95.4
27.628,-82.715,68.6
27.599,-82.551,84.0
27.743,-82.468,80.0
27.743,-82.688,84.8
4.11,-77.251,284.92
3.836,-77.258,138.98
3.842,-77.206,218.36
-8.511,125.769,155.8
3.028,101.327,128.5
2.944,101.379,155.58
3.026,101.264,108.27
21.574,109.752,91.54
21.566,109.755,114.5
21.549,109.766,90.26
21.538,109.774,65.21
28.709,-80.738,114.0
-7.683,108.917,31.51
-7.683,108.917,5.52
25.907,-81.669,181.9
25.932,-81.673,156.04
25.932,-81.673,129.48
25.932,-81.673,34.54
4.933,115.233,116.79
-4.419,39.511,20.25
-4.419,39.511,11.7
-4.419,39.511,6.7
-4.419,39.511,3.7
15.181,-92.786,383.6
15.205,-92.811,342.4
15.228,-92.837,391.6
15.226,-92.871,621.3
15.222,-92.881,198.8
15.246,-92.918,303.5
15.211,-92.861,706.6
1.896,-78.489,219.86
9.365,98.408,345.433
9.365,98.406,258.386
9.366,98.406,248.033
9.369,98.4,144.409
9.372,98.4,449.794
9.371,98.399,99.711
9.368,98.405,285.207
9.369,98.405,358.131
9.369,98.405,253.322
9.369,98.402,394.853
9.368,98.401,235.983
9.371,98.401,197.145
9.373,98.4,189.738
9.377,98.4,144.927
9.367,98.405,247.396
9.366,98.407,255.756
9.365,98.406,233.683
9.37,98.4,212.907
9.371,98.407,204.701
9.371,98.405,197.243
9.374,98.405,219.161
9.373,98.403,219.499
9.374,98.403,135.348
9.374,98.4,222.784
9.368,98.401,162.227
9.372,98.402,206.047
9.373,98.402,316.167
9.375,98.404,256.964
9.371,98.404,211.025
9.371,98.402,339.445
9.367,98.408,285.019
9.37,98.407,306.781
9.365,98.399,308.92
9.363,98.405,274.704
9.364,98.402,270.727
9.363,98.406,403.233
9.367,98.4,179.227
9.366,98.402,270.598
9.366,98.404,212.206
9.365,98.403,246.163
10.28,99.163,344.2
10.278,99.163,42.0
10.373,99.22,65.0
10.373,99.222,46.0
-6.087,106.72,1.408
-6.07,106.738,2.104
-6.101,106.748,3.221
-6.104,106.76,2.83
-5.939,106.99,4.121
7.668,81.666,19.0
7.628,81.725,36.0
19.487,-87.7,176.2
19.696,-87.466,144.9
19.648,-87.454,105.0
19.78,-87.479,114.2
19.861,-87.461,3.0
19.841,-87.48,7.1
19.822,-87.495,5.3
19.95,106.002,37.0
19.95,106.001,83.5
19.952,106.0,50.1
19.953,105.999,137.8
19.957,106.001,342.3
20.417,86.742,166.1
20.417,86.742,162.39
20.417,86.742,77.53
20.417,86.742,96.19
20.417,86.742,130.22
20.417,86.742,111.25
20.417,86.742,111.77
20.417,86.742,106.46
20.417,86.742,90.69
20.417,86.742,78.33
20.417,86.742,129.95
20.417,86.742,105.89
20.417,86.742,135.96
20.417,86.742,92.93
20.417,86.742,67.8
20.417,86.742,68.74
20.417,86.742,111.57
20.417,86.742,217.49
20.417,86.742,202.52
20.417,86.742,236.95
20.417,86.742,125.5
20.417,86.742,124.9
19.884,-71.642,9.0
19.882,-71.647,5.5
19.876,-71.651,21.1
19.693,-71.712,62.8
19.691,-71.716,58.5
19.708,-71.723,41.4
19.724,-71.725,173.2
19.701,-71.72,277.2
19.701,-71.709,271.7
-5.475,119.315,66.4
-5.477,119.306,24.2
-5.327,119.364,183.0
1.589,124.839,137.4
1.589,124.839,364.4
-5.46,119.289,1.6
1.589,124.839,100.4
1.589,124.839,44.0
1.589,124.839,77.6
1.411,103.988,276.0
24.632,53.052,38.3
24.628,53.054,71.1
24.281,53.314,23.1
24.45,54.41,25.9
24.453,54.441,13.3
24.503,54.533,15.1
24.519,54.47,7.3
24.656,54.673,9.2
25.191,55.327,140.0
25.435,55.478,92.1
25.533,55.593,30.8
25.562,55.605,72.6
25.773,55.947,134.4
25.898,56.04,56.8
25.017,56.356,97.9
25.017,56.356,243.6
25.017,56.356,144.8
25.01,56.36,180.5
24.201,53.802,1.583
24.203,53.801,15.667
24.204,53.8,21.833
24.213,53.799,0.04
24.507,54.526,1.0
24.484,54.534,8.25
24.486,54.54,11.75
21.808,89.183,33.49
21.808,89.183,14.36
10.483,106.943,152.7
10.437,106.932,72.8
10.44,106.855,125.4
10.532,106.929,100.6
10.503,106.822,217.0
10.521,106.898,114.7
8.647,105.116,158.9
8.649,105.111,176.4
8.638,105.078,153.8
8.65,105.116,90.7
8.644,105.097,48.4
8.641,105.088,448.4
8.653,105.121,28.5
8.473,105.074,86.5
8.645,105.105,128.6
18.606,-92.684,223.0
18.652,-92.458,264.0
18.648,-92.475,217.0
18.594,-92.468,265.0
18.492,-93.429,114.0
18.567,-92.432,255.0
18.595,-92.448,117.0
-25.917,32.638,9.18
-18.836,36.276,126.0
-18.836,36.276,208.2
-18.836,36.276,276.8
-18.836,36.276,374.2
-18.836,36.276,488.6
13.428,-87.611,356.6
13.367,-87.471,44.8
13.114,-87.184,104.4
13.368,-87.476,55.2
15.874,-87.641,298.0
15.785,-87.596,154.8
15.891,-87.633,232.2
15.822,-87.578,744.4
15.822,-87.595,527.4
16.404,-86.399,140.2
16.401,-86.399,326.0
16.418,-85.944,104.0
16.455,-85.863,7.4
16.089,-86.889,34.2
16.119,-86.902,140.8
16.098,-86.909,105.8
16.093,-86.914,47.4
16.11,-86.942,34.0
7.352,134.539,174.0
7.352,134.539,212.0
7.352,134.539,289.0
9.588,138.128,251.0
9.588,138.128,456.0
9.588,138.128,383.0
16.3,120.456,13.59
16.215,120.248,25.78
16.353,120.346,27.76
16.372,120.2,42.84
16.25,119.894,105.8
19.95,110.583,38.53
19.95,110.583,20.012
19.95,110.583,29.405
25.517,119.783,5.545
25.517,119.783,8.417
25.517,119.783,19.238
27.278,120.299,32.919
27.266,120.203,14.711
-19.95,-40.157,0.16
-19.95,-40.157,0.65
-19.95,-40.157,0.74
-19.95,-40.157,0.75
-19.95,-40.157,0.19
-19.95,-40.157,0.44
-20.183,34.75,84.0
11.489,79.765,1.2
11.489,79.765,1.35
11.489,79.765,4.85
11.489,79.765,6.7
11.489,79.765,5.5
11.489,79.765,14.65
11.49,79.778,44.6
11.49,79.778,30.15
11.49,79.778,103.85
11.49,79.778,75.25
11.49,79.778,101.5
11.49,79.778,222.75
11.49,79.778,34.05
11.49,79.778,46.35
11.49,79.778,211.7
11.49,79.778,350.5
11.49,79.778,224.6
13.814,121.448,229.99
13.813,121.452,285.4
22.519,114.024,87.14
9.89,106.675,218.0
9.89,106.675,263.0
9.89,106.675,202.0
9.89,106.675,85.0
9.89,106.675,164.0
9.89,106.675,146.0
9.89,106.675,320.0
9.89,106.675,262.0
9.89,106.675,166.0
9.89,106.675,283.0
9.89,106.675,278.59
9.89,106.675,149.89
9.89,106.675,76.15
4.798,100.647,557.8
4.798,100.647,387.8
4.798,100.647,302.4
4.798,100.647,289.0
4.798,100.647,244.4
4.798,100.647,301.8
4.798,100.647,257.4
4.798,100.647,143.9
4.798,100.647,359.1
-33.978,151.019,266.3
-34.017,151.162,213.62
8.29,79.84,85.0
8.3,79.84,57.0
8.23,79.83,240.0
8.18,79.74,193.0
8.19,79.78,172.0
8.27,79.78,71.0
-10.087,123.748,0.321
-10.087,123.748,0.054
-10.087,123.748,0.192
-10.087,123.748,0.132
-10.087,123.748,0.691
-10.087,123.748,0.152
-10.087,123.748,0.912
-10.087,123.748,5.675
-10.087,123.748,0.242
-10.087,123.748,0.246
-10.087,123.748,6.34
-10.087,123.748,5.025
16.315,120.01,13.58
16.202,119.988,18.21
16.32,120.002,38.45
16.371,119.964,43.29
11.719,122.39,51.43
11.719,122.391,101.8
16.243,119.93,115.62
10.201,124.166,132.18
10.088,124.119,147.6
15.494,119.923,150.66
9.543,138.092,493.0
9.556,138.178,280.0
9.514,138.148,410.6
9.553,138.01,561.0
9.588,138.127,869.6
7.353,134.539,268.2
7.383,134.511,158.6
7.58,134.632,358.0
22.519,114.024,314.6
22.519,114.024,327.0
22.519,114.024,141.2
22.519,114.024,152.4
22.519,114.024,59.6
22.519,114.024,64.6
4.838,100.617,576.0
4.851,100.612,352.0
4.86,100.616,106.0
22.519,114.024,50.4
22.519,114.024,206.3
22.519,114.024,194.5
22.519,114.024,118.7
22.721,113.765,51.178
22.721,113.765,0.506
22.721,113.765,7.861
24.393,117.903,93.37
19.883,110.617,248.495
21.467,109.717,196.212
21.467,109.717,92.336
21.467,109.717,75.175
21.467,109.717,62.757
21.467,109.717,29.772
21.467,109.717,17.011
22.519,114.024,45.6
26.183,127.667,64.9
26.183,127.667,111.6
26.183,127.667,208.2
25.135,121.459,81.7
23.934,120.314,152.4
23.934,120.314,61.4
23.119,120.089,104.3
22.502,114.031,129.6
22.502,114.031,132.8
22.502,114.031,168.8
22.502,114.031,122.6
22.502,114.031,166.5
22.502,114.031,142.4
22.502,114.031,72.0
22.502,114.031,123.9
22.502,114.031,160.4
22.502,114.031,253.7
22.502,114.031,97.6
22.502,114.031,100.0
22.502,114.031,95.8
22.502,114.031,128.2
22.502,114.031,105.2
22.502,114.031,94.4
-8.394,114.627,334.0
-8.396,114.629,244.0
-8.394,114.632,565.0
-8.392,114.627,146.0
-8.394,114.631,152.0
-8.394,114.629,49.0
26.183,127.667,80.5
-7.66,109.03,93.726
4.833,100.583,174.0
4.833,100.6,216.4
25.487,-80.343,22.28
25.472,-80.345,56.02
6.213,102.179,277.0
22.519,114.024,68.33
12.2,102.5,169.9
12.2,102.5,259.2
12.2,102.5,227.0
21.688,88.338,68.6
21.688,88.338,76.7
21.688,88.338,78.8
21.688,88.338,68.5
21.636,88.33,72.1
21.636,88.33,98.1
21.716,88.296,65.3
21.716,88.296,90.2
21.868,88.643,131.9
21.868,88.643,171.8
21.68,88.635,109.1
19.167,-69.632,124.0
19.167,-69.635,175.0
19.168,-69.638,145.0
19.168,-69.64,158.0
19.17,-69.649,176.0
19.17,-69.651,202.0
19.171,-69.652,212.0
19.171,-69.654,216.0
19.171,-69.655,222.0
19.171,-69.656,269.0
19.172,-69.658,322.0
19.172,-69.66,284.0
19.172,-69.661,188.0
19.173,-69.663,75.0
19.128,-69.64,207.0
19.128,-69.642,304.0
19.128,-69.644,252.0
19.127,-69.646,283.0
19.126,-69.649,215.0
19.126,-69.65,270.0
19.126,-69.652,322.0
19.125,-69.653,384.0
19.125,-69.655,341.0
20.953,110.176,39.3
21.003,110.198,59.6
20.979,110.178,76.4
20.909,110.177,82.1
11.766,75.478,171.95
11.767,75.486,176.02
11.763,75.515,238.47
-32.875,151.75,21.8
-33.5,151.5,21.7
12.183,102.567,2.0
12.183,102.567,2.6
12.183,102.567,6.0
12.183,102.567,25.2
13.057,100.094,154.6
13.058,100.09,35.1
8.825,105.192,78.3
8.834,105.244,90.0
8.832,105.216,325.6
-5.551,105.075,54.1
-5.537,105.146,40.5
-5.707,105.266,260.0
-4.234,119.603,60.1
-0.008,103.809,89.68
-0.008,103.809,42.94
-0.008,103.809,75.99
-0.008,103.809,178.81
-0.008,103.809,279.03
-0.008,103.809,40.7
-18.836,36.276,150.8
-18.836,36.276,231.8
-18.836,36.276,305.0
-18.836,36.276,412.0
-18.836,36.276,537.0
25.191,-80.646,12.5
-27.401,153.136,162.0
-27.401,153.136,341.0
-27.401,153.136,110.0
-5.759,-35.211,85.96
-33.816,151.139,129.5
-33.816,151.139,100.2
11.068,122.957,277.8
11.824,122.146,417.873
-7.812,-34.828,104.78
-23.0,-44.0,65.3
-4.413,39.51,40.1
-4.419,39.515,249.0
9.903,98.567,281.169
-29.8,31.05,94.49
-26.197,-48.745,42.47
-26.195,-48.733,27.17
-26.192,-48.723,18.26
9.35,-82.25,59.5
9.35,-82.25,22.2
9.35,-82.25,8.3
9.35,-82.25,194.3
9.896,118.739,89.66
9.927,118.761,103.29
9.942,118.799,106.2
9.813,118.755,13.2
9.835,118.744,37.49
9.814,118.763,31.65
6.753,99.852,92.24
1.284,-78.906,398.0
0.611,-80.016,68.0
0.362,-80.038,70.0
-0.635,-80.419,250.0
23.62,58.481,145.0
8.709,104.821,176.0
8.709,104.82,209.0
8.708,104.82,219.0
-13.553,48.452,168.32
-13.574,48.445,43.64
-13.561,48.461,13.5
27.86,-97.08,26.86
27.86,-97.08,15.3
-4.477,-37.779,94.28
-4.449,-37.786,154.0
-4.539,-37.782,88.0
-2.869,-40.145,216.9
-2.844,-40.134,188.62
-2.85,-40.031,132.02
-2.393,104.76,0.3223
-2.384,104.789,0.3462
-2.368,104.81,0.1646
-2.346,104.833,0.2073
-2.315,104.843,0.1095
11.743,122.387,65.68
11.743,122.387,44.08
10.793,122.706,67.78
10.793,122.706,20.2
10.762,122.624,9.15
10.838,122.784,37.26
24.483,124.217,161.3
4.867,-52.317,31.5
4.867,-52.317,71.8
5.425,-52.917,35.1
5.425,-52.917,180.0
4.867,-52.317,315.0
5.5,-53.167,188.6
5.425,-52.917,122.2
20.483,86.69,9.18
20.483,86.688,77.07
20.48,86.726,89.74
20.479,86.728,122.47
20.382,86.735,128.81
20.379,86.734,163.64
-20.717,116.617,240.71
-20.333,118.617,232.45
-22.317,114.117,195.87
-20.717,116.617,56.64
-20.333,118.617,130.97
-21.967,113.95,138.05
-5.817,110.45,3.2
-5.817,110.45,63.3
-5.817,110.45,175.2
11.8,122.2,567.5
11.8,122.2,77.3
11.8,122.2,323.5
11.8,122.2,235.8
24.483,124.217,167.2
24.483,124.217,180.4
24.483,124.217,184.3
24.483,124.217,124.9
19.61,110.806,310.69
19.952,110.578,107.0
18.248,109.608,60.98
18.43,109.982,16.2
19.909,109.987,20.53
19.767,109.256,185.31
19.855,109.55,55.28
4.128,98.527,173.38
4.128,98.527,102.16
4.128,98.527,108.08
4.128,98.527,74.14
4.128,98.527,97.83
